,time,Bx,By,Bz,Bt,density,speed,temp,dst,kp
0,2011-01-01 03:00:00,73.0,32.6,0.577,80.3,4.2,340.8,35200.0,-5.0,1.333
1,2011-01-01 06:00:00,71.0,32.3,-1.12,78.4,4.9,348.9,36200.0,-5.0,0.667
2,2011-01-01 09:00:00,79.0,34.9,-2.51,86.1,4.2,351.6,38100.0,-7.0,0.0
3,2011-01-01 12:00:00,96.0,35.1,-2.98,102.0,2.9,336.5,69200.0,-11.0,0.667
4,2011-01-01 15:00:00,103.0,32.3,-1.13,108.0,2.6,321.2,46600.0,-10.0,1.0
5,2011-01-01 18:00:00,106.0,29.9,-1.25,110.0,2.1,313.3,41200.0,-9.0,1.333
6,2011-01-01 21:00:00,94.0,30.5,0.343,98.6,2.0,306.2,49300.0,-6.0,0.667
7,2011-01-02 00:00:00,87.0,33.0,1.02,93.3,2.1,311.7,43700.0,-1.0,2.0
8,2011-01-02 03:00:00,63.0,27.9,0.787,69.3,2.0,329.6,38400.0,3.0,1.333
9,2011-01-02 06:00:00,73.0,28.9,1.9,78.5,6.2,337.3,74000.0,5.0,1.667
10,2011-01-02 09:00:00,82.0,32.8,-1.69,88.5,4.7,348.6,64500.0,0.0,0.333
11,2011-01-02 12:00:00,108.0,31.7,0.673,113.0,5.3,340.1,58500.0,6.0,0.667
12,2011-01-02 15:00:00,116.0,29.4,-0.604,120.0,3.3,342.1,60400.0,4.0,0.667
13,2011-01-02 18:00:00,114.0,27.2,-2.37,117.0,5.8,365.5,45000.0,-2.0,1.333
14,2011-01-02 21:00:00,105.0,29.8,-0.936,109.0,3.9,355.4,41400.0,0.0,1.667
15,2011-01-03 00:00:00,84.0,32.2,0.493,89.9,4.5,352.1,51000.0,-3.0,1.333
16,2011-01-03 03:00:00,74.0,33.9,2.34,81.3,11.5,354.4,14400.0,-2.0,0.667
17,2011-01-03 06:00:00,74.0,29.5,0.646,79.8,11.4,349.5,17900.0,0.0,0.667
18,2011-01-03 09:00:00,87.0,29.1,-3.51,92.2,7.2,317.2,31600.0,3.0,0.333
19,2011-01-03 12:00:00,108.0,28.9,-1.08,112.0,3.7,330.4,68100.0,5.0,1.0
20,2011-01-03 15:00:00,118.0,25.8,-0.923,120.0,12.0,355.3,63200.0,5.0,1.0
21,2011-01-03 18:00:00,120.0,24.9,-1.77,122.0,10.3,395.3,110000.0,-8.0,2.0
22,2011-01-03 21:00:00,103.0,25.2,1.68,106.0,6.9,376.2,80900.0,-2.0,2.0
23,2011-01-04 00:00:00,92.0,26.2,2.96,96.0,8.8,383.9,128000.0,1.0,2.333
24,2011-01-04 03:00:00,63.0,21.2,1.27,66.2,8.1,404.5,104000.0,5.0,1.333
25,2011-01-04 09:00:00,83.0,30.7,-2.72,88.4,4.0,420.4,74400.0,-9.0,1.0
26,2011-01-04 12:00:00,101.0,31.6,-2.89,106.0,2.9,430.7,70300.0,3.0,1.0
27,2011-01-04 15:00:00,111.0,29.5,-0.688,115.0,3.0,422.0,64100.0,0.0,1.333
28,2011-01-04 18:00:00,111.0,28.0,-1.45,115.0,3.8,405.0,68800.0,-4.0,1.667
29,2011-01-04 21:00:00,99.0,29.3,0.271,103.0,3.3,402.1,70600.0,-3.0,1.667
30,2011-01-05 00:00:00,89.0,30.9,0.871,94.2,2.7,406.0,83500.0,-6.0,0.667
31,2011-01-05 03:00:00,83.0,31.4,1.7,88.9,1.5,378.2,24800.0,-1.0,0.0
32,2011-01-05 06:00:00,82.0,31.2,-1.02,87.6,1.4,364.0,37100.0,-3.0,0.0
33,2011-01-05 12:00:00,100.0,34.2,-1.04,106.0,0.7,365.0,45900.0,4.0,0.667
34,2011-01-05 15:00:00,112.0,29.9,-0.106,116.0,4.7,351.8,29800.0,3.0,0.667
35,2011-01-05 18:00:00,115.0,27.3,-1.31,118.0,10.4,347.8,18400.0,-1.0,0.667
36,2011-01-05 21:00:00,102.0,29.8,-1.68,106.0,4.6,361.5,52100.0,-3.0,1.333
37,2011-01-06 00:00:00,80.0,30.9,-0.525,85.7,6.9,363.6,47400.0,-5.0,1.0
38,2011-01-06 03:00:00,72.0,34.5,1.17,79.8,4.8,352.4,38000.0,0.0,1.333
39,2011-01-06 06:00:00,71.0,32.2,4.46,78.4,5.3,343.5,41200.0,-6.0,0.333
40,2011-01-06 09:00:00,88.0,32.8,-2.56,94.3,4.2,339.0,37800.0,-2.0,0.0
41,2011-01-06 15:00:00,111.0,29.6,-1.58,115.0,7.3,336.6,35200.0,5.0,0.333
42,2011-01-06 18:00:00,130.0,23.1,-3.61,132.0,21.8,341.4,30200.0,8.0,1.0
43,2011-01-06 21:00:00,150.0,11.4,-4.72,150.0,10.0,431.9,224000.0,22.0,2.0
44,2011-01-07 00:00:00,31.0,58.0,-4.68,65.8,15.8,447.3,332000.0,-40.0,4.333
45,2011-01-07 03:00:00,35.0,45.7,10.2,58.6,4.6,540.6,196000.0,-28.0,5.0
46,2011-01-07 06:00:00,44.0,47.6,13.8,66.2,1.9,525.5,104000.0,-42.0,2.667
47,2011-01-07 09:00:00,65.0,45.6,-0.0701,79.4,2.5,547.8,125000.0,-32.0,2.333
48,2011-01-07 12:00:00,83.0,40.8,-2.36,92.9,1.9,538.7,173000.0,-25.0,2.333
49,2011-01-07 15:00:00,103.0,33.1,-2.51,108.0,2.3,609.7,192000.0,-14.0,2.0
50,2011-01-07 18:00:00,102.0,35.3,-1.56,108.0,2.3,560.2,159000.0,-18.0,2.333
51,2011-01-07 21:00:00,99.0,33.0,-3.03,104.0,2.5,599.0,189000.0,-19.0,3.0
52,2011-01-08 00:00:00,79.0,33.6,3.19,86.2,2.5,612.6,204000.0,-20.0,3.0
53,2011-01-08 03:00:00,64.0,35.7,3.97,73.5,3.0,636.3,171000.0,-10.0,2.0
54,2011-01-08 06:00:00,69.0,33.9,1.49,76.6,3.0,587.3,165000.0,-10.0,1.667
55,2011-01-08 09:00:00,72.0,33.3,-1.17,79.4,2.1,610.1,265000.0,-17.0,1.667
56,2011-01-08 12:00:00,91.0,34.1,-3.5,97.2,2.7,643.8,170000.0,-15.0,2.333
57,2011-01-08 15:00:00,107.0,28.9,-3.35,111.0,2.1,637.2,232000.0,-2.0,2.667
58,2011-01-08 18:00:00,108.0,29.8,-2.39,113.0,1.9,641.6,167000.0,-13.0,2.333
59,2011-01-08 21:00:00,93.0,33.8,-2.44,99.1,1.6,606.6,215000.0,-12.0,2.0
60,2011-01-09 03:00:00,74.0,35.3,0.867,82.3,1.5,598.3,142000.0,-12.0,1.333
61,2011-01-09 06:00:00,75.0,34.6,1.37,82.4,1.5,597.1,204000.0,-8.0,2.667
62,2011-01-09 09:00:00,83.0,36.6,-2.46,90.9,1.8,600.5,184000.0,-12.0,0.667
63,2011-01-09 12:00:00,99.0,33.4,-1.85,104.0,1.8,580.7,199000.0,-10.0,1.333
64,2011-01-09 15:00:00,108.0,30.5,-1.98,112.0,1.8,594.5,173000.0,-10.0,1.0
65,2011-01-09 18:00:00,105.0,30.8,-2.7,110.0,2.0,596.2,163000.0,-13.0,2.333
66,2011-01-09 21:00:00,98.0,29.4,-2.26,102.0,2.7,600.5,258000.0,-12.0,2.333
67,2011-01-10 03:00:00,65.0,34.4,3.11,73.8,2.0,613.3,154000.0,-8.0,2.667
68,2011-01-10 06:00:00,70.0,33.7,4.86,78.2,1.8,561.7,83500.0,-7.0,1.333
69,2011-01-10 09:00:00,76.0,33.1,-2.67,83.4,2.2,548.7,128000.0,-14.0,1.667
70,2011-01-10 12:00:00,95.0,33.6,-2.56,101.0,2.0,574.7,136000.0,-11.0,1.333
71,2011-01-10 15:00:00,104.0,31.2,-2.4,109.0,1.7,521.1,101000.0,-4.0,1.667
72,2011-01-10 21:00:00,98.0,31.9,-0.957,103.0,2.5,494.3,76100.0,-14.0,1.667
73,2011-01-11 00:00:00,81.0,32.0,1.27,87.1,2.1,484.2,119000.0,-16.0,1.333
74,2011-01-11 03:00:00,68.0,38.6,0.696,77.9,2.8,466.3,86700.0,-11.0,1.333
75,2011-01-11 06:00:00,76.0,31.8,-0.39,82.7,1.7,485.4,73300.0,-6.0,2.0
76,2011-01-11 09:00:00,87.0,35.4,-2.51,93.9,3.1,487.6,89000.0,-7.0,0.333
77,2011-01-11 12:00:00,97.0,31.9,-1.74,102.0,2.7,487.2,76100.0,-16.0,0.667
78,2011-01-11 15:00:00,106.0,30.1,-2.92,111.0,3.2,466.6,52600.0,-15.0,1.667
79,2011-01-11 18:00:00,102.0,31.7,-4.48,107.0,2.5,456.4,88200.0,-20.0,2.667
80,2011-01-12 00:00:00,84.0,37.2,-2.58,91.8,3.8,465.4,83900.0,-9.0,3.0
81,2011-01-12 03:00:00,70.0,36.1,2.8,78.5,2.6,479.0,121000.0,1.0,1.667
82,2011-01-12 06:00:00,66.0,36.3,-0.414,75.3,3.0,500.0,149000.0,-2.0,2.333
83,2011-01-12 09:00:00,77.0,37.8,-2.27,85.7,3.5,506.8,142000.0,-9.0,1.667
84,2011-01-12 12:00:00,96.0,37.1,-2.53,103.0,3.7,499.4,131000.0,-2.0,2.333
85,2011-01-12 15:00:00,105.0,33.1,-1.69,110.0,4.4,480.1,140000.0,2.0,1.0
86,2011-01-12 18:00:00,106.0,31.5,-4.46,110.0,3.2,497.5,120000.0,-7.0,0.667
87,2011-01-12 21:00:00,99.0,32.6,-1.9,105.0,4.1,487.5,184000.0,-6.0,2.0
88,2011-01-13 03:00:00,74.0,35.0,-0.301,81.8,3.7,493.0,125000.0,-6.0,2.333
89,2011-01-13 06:00:00,71.0,33.0,-1.09,78.5,5.6,463.2,106000.0,-3.0,1.667
90,2011-01-13 09:00:00,85.0,36.7,-3.51,92.5,4.0,484.3,101000.0,-2.0,0.333
91,2011-01-13 12:00:00,99.0,36.7,-3.34,106.0,6.5,449.0,83600.0,-8.0,0.333
92,2011-01-13 15:00:00,115.0,31.3,-0.806,119.0,5.7,447.8,75000.0,-7.0,1.667
93,2011-01-13 18:00:00,113.0,29.4,-2.68,117.0,2.9,450.1,165000.0,-13.0,2.667
94,2011-01-13 21:00:00,76.0,30.2,0.364,81.9,1.6,488.0,155000.0,-23.0,3.0
95,2011-01-14 00:00:00,68.0,38.9,-1.48,78.4,1.4,527.3,235000.0,-28.0,3.333
96,2011-01-14 03:00:00,55.0,45.4,2.23,71.7,2.1,521.8,346000.0,-21.0,2.667
97,2011-01-14 06:00:00,63.0,36.4,-0.446,72.4,2.9,534.4,200000.0,-11.0,2.0
98,2011-01-14 09:00:00,75.0,35.4,-1.5,83.1,1.6,566.5,163000.0,-15.0,2.333
99,2011-01-14 12:00:00,90.0,36.0,-3.03,97.2,2.0,527.7,285000.0,-7.0,1.667
100,2011-01-14 15:00:00,103.0,28.7,-2.21,107.0,3.3,545.2,188000.0,-15.0,2.0
101,2011-01-14 18:00:00,106.0,29.9,-2.03,110.0,3.3,549.1,163000.0,-10.0,3.0
102,2011-01-14 21:00:00,94.0,34.4,-2.39,100.0,2.5,510.8,151000.0,-13.0,2.333
103,2011-01-15 00:00:00,82.0,39.7,-1.03,91.0,2.0,473.8,213000.0,-19.0,2.333
104,2011-01-15 03:00:00,72.0,35.5,-0.95,80.3,2.7,466.8,179000.0,-11.0,1.0
105,2011-01-15 06:00:00,70.0,39.8,-0.682,80.2,2.1,452.4,118000.0,-11.0,2.333
106,2011-01-15 09:00:00,78.0,34.2,-2.54,85.5,4.1,464.2,128000.0,-7.0,1.0
107,2011-01-15 12:00:00,91.0,37.0,-2.86,98.6,2.8,509.7,102000.0,-6.0,1.333
108,2011-01-15 15:00:00,103.0,34.4,-3.17,109.0,2.3,493.1,151000.0,2.0,2.0
109,2011-01-15 18:00:00,106.0,31.7,-5.6,111.0,1.7,484.6,119000.0,-3.0,1.0
110,2011-01-15 21:00:00,92.0,35.3,-1.22,98.6,1.5,491.2,173000.0,-6.0,1.0
111,2011-01-16 00:00:00,84.0,37.5,0.765,91.6,4.0,457.2,105000.0,-13.0,0.667
112,2011-01-16 03:00:00,71.0,35.3,0.541,79.5,4.1,450.7,49700.0,-6.0,1.333
113,2011-01-16 06:00:00,77.0,36.2,-2.0,85.5,3.0,407.0,88300.0,-2.0,1.0
114,2011-01-16 09:00:00,85.0,38.5,-2.88,93.7,3.6,401.5,106000.0,-2.0,0.333
115,2011-01-16 12:00:00,100.0,33.6,-3.81,106.0,9.6,437.0,56600.0,11.0,0.333
116,2011-01-16 15:00:00,130.0,25.8,-2.16,132.0,5.8,447.9,80800.0,13.0,2.0
117,2011-01-16 18:00:00,115.0,30.3,-3.49,119.0,3.3,481.2,136000.0,-7.0,2.0
118,2011-01-16 21:00:00,96.0,31.9,0.0581,101.0,2.9,489.5,128000.0,-7.0,2.0
119,2011-01-17 00:00:00,80.0,33.3,1.21,87.1,2.5,484.2,198000.0,-8.0,1.0
120,2011-01-17 03:00:00,70.0,32.7,-0.938,77.3,2.8,485.9,65500.0,0.0,2.333
121,2011-01-17 06:00:00,71.0,33.2,-2.13,78.6,2.9,458.6,58000.0,-2.0,2.333
